count, cycles0, l2hitRatio0, cycles1, l2hitRatio1
10, 28191480, 0, 26015511, 0
20, 26789466, 0, 27124702, 0
30, 27404258, 0, 26944153, 0
40, 27198214, 0, 26902522, 0
50, 27425731, 0, 26832883, 0
60, 27233258, 0, 27379551, 0
70, 26677018, 0, 26427647, 0
80, 27005621, 0, 27707021, 0
90, 26753755, 0, 26465715, 0
100, 27808449, 0, 26989964, 0
110, 27833914, 0, 27128314, 0
120, 26856527, 0, 28064128, 0
130, 26763646, 0, 27678563, 0
140, 26769577, 0, 27240761, 0
150, 27282695, 0, 27857771, 0
160, 26814023, 0, 27433230, 0
170, 26995125, 0, 26531668, 0
180, 26756204, 0, 27054338, 0
190, 27561678, 0, 26782239, 0
200, 26906856, 0, 26559724, 0
210, 27162443, 0, 27722554, 0
220, 27671300, 0, 26550118, 0
230, 27848088, 0, 26982894, 0
240, 27322064, 0, 26836165, 0
250, 27478987, 0, 26973867, 0
260, 28496090, 0, 26816086, 0
270, 27267266, 0, 27850091, 0
280, 26878339, 0, 26621284, 0
290, 26622322, 0, 27462224, 0
300, 26676300, 0, 26650705, 0
310, 26710509, 0, 28291258, 0
320, 27196623, 0, 26589417, 0
330, 27716717, 0, 27306802, 0
340, 27992559, 0, 26585083, 0
350, 26933718, 0, 27237282, 0
360, 27188503, 0, 28121381, 0
370, 26806650, 0, 26902549, 0
380, 28311708, 0, 27191245, 0
390, 26960574, 0, 26706138, 0
400, 28583784, 0, 27044836, 0
410, 26629241, 0, 26595270, 0
420, 27349542, 0, 26778042, 0
